Options:
Model:                           MultiState
Tree File Name:                  Artiodactyl.trees
Data File Name:                  Artiodactyl.txt
Log File Name:                   Artiodactyl_multistate_run4.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1840406959
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      20005000
Burn in:                         5000
MCMC ML Start:                   False
Schedule File:                   Artiodactyl_multistate_run4.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               D,G
Using a covarion model:          False
Normalise Q Matrix:              False
Tags:	2
	TVarNode	5	Sheep Goat Cow Buffalo Pronghorn 
	TRecNode	4	Porpoise Dolphin FKWhale Whale 
Restrictions:
    qDG                          None
    qGD                          None
Prior Information:
    Prior Categories:            100
    Priors
        qDG - exp 10.00 
        qGD - exp 10.00 
Node reconstruction / fossilisation:
	Node VarNode TVarNode
	Node RecNode TRecNode
Tree Information
     Trees:                      500
     Taxa:                       17
     Sites:                      1
     States:                     2
Iteration	Lh	Tree No	qDG	qGD	Root P(D)	Root P(G)	VarNode P(D)	VarNode P(G)	RecNode P(D)	RecNode P(G)	
104000	-8.451171	92	14.481307	13.166395	0.323942	0.676058	0.957634	0.042366	0.134836	0.865164	
105000	-8.314104	38	7.454321	13.149787	0.363945	0.636055	--	--	0.023814	0.976186	
106000	-8.720000	160	3.544477	2.869468	0.093600	0.906400	0.740032	0.259968	0.014275	0.985725	
107000	-7.442513	439	9.422687	6.762161	0.319787	0.680213	0.979890	0.020110	0.050740	0.949260	
108000	-9.505912	72	1.200258	9.483484	0.030721	0.969279	--	--	0.000910	0.999090	
109000	-7.671898	25	10.279587	5.837936	0.324092	0.675908	--	--	0.067865	0.932135	
110000	-8.135690	95	11.814482	4.929478	0.369967	0.630033	0.992474	0.007526	0.057383	0.942617	
111000	-8.540989	327	1.768354	3.269522	0.026953	0.973047	--	--	0.001702	0.998298	
112000	-8.534254	81	8.183953	1.864273	0.454549	0.545451	--	--	0.057027	0.942973	
113000	-7.882419	345	8.051925	5.465239	0.291363	0.708637	0.855770	0.144230	0.045787	0.954213	
114000	-8.687890	339	6.537512	1.128862	0.530079	0.469921	0.998867	0.001133	0.019839	0.980161	
115000	-7.658943	47	2.944579	4.175651	0.054604	0.945396	--	--	0.002391	0.997609	
116000	-7.569986	85	5.980800	4.307600	0.159535	0.840465	0.973001	0.026999	0.017110	0.982890	
117000	-7.845303	346	13.522131	11.459519	0.414272	0.585728	0.807750	0.192250	0.092406	0.907594	
118000	-7.994966	4	5.578038	9.835894	0.179203	0.820797	--	--	0.021291	0.978709	
119000	-7.903049	135	4.541567	10.048696	0.216002	0.783998	--	--	0.008520	0.991480	
120000	-8.243133	385	16.277008	10.153769	0.449398	0.550602	--	--	0.150229	0.849771	
121000	-9.263433	32	0.596681	3.736732	0.002974	0.997026	--	--	0.000093	0.999907	
122000	-7.238414	30	7.791976	5.192125	0.311043	0.688957	--	--	0.035404	0.964596	
123000	-9.051855	94	0.880504	5.520024	0.004989	0.995011	--	--	0.000904	0.999096	
124000	-7.723306	385	7.354458	8.879685	0.312089	0.687911	--	--	0.044250	0.955750	
125000	-8.134737	130	13.977152	5.365487	0.421194	0.578806	--	--	0.054886	0.945114	
126000	-8.451205	332	2.215733	9.634476	0.055289	0.944711	--	--	0.000375	0.999625	
127000	-8.069802	388	2.832222	2.375042	0.098190	0.901810	--	--	0.003673	0.996327	
128000	-8.105816	207	16.968393	5.322362	0.425144	0.574856	0.942591	0.057409	0.064393	0.935607	
129000	-7.931846	7	4.470598	6.141152	0.177973	0.822027	--	--	0.015930	0.984070	
130000	-10.794219	269	0.148341	10.489317	0.000158	0.999842	--	--	0.000002	0.999998	
131000	-8.459122	496	3.227976	7.098771	0.075503	0.924497	0.453035	0.546965	0.007869	0.992131	
132000	-7.782091	484	7.960407	3.656527	0.303597	0.696403	0.989867	0.010133	0.035823	0.964177	
133000	-8.190885	208	10.860261	3.518885	0.437289	0.562711	--	--	0.053805	0.946195	
134000	-7.976988	265	7.655440	11.642469	0.324690	0.675310	--	--	0.052097	0.947903	
135000	-8.811234	448	7.029804	15.576076	0.382103	0.617897	--	--	0.015394	0.984606	
136000	-8.761705	161	13.857550	17.083929	0.463019	0.536981	--	--	0.106437	0.893563	
