Options:
Model:                           MultiState
Tree File Name:                  Artiodactyl.trees
Data File Name:                  Artiodactyl.txt
Log File Name:                   Artiodactyl_multistate_run1.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            371628164
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      20005000
Burn in:                         5000
MCMC ML Start:                   False
Schedule File:                   Artiodactyl_multistate_run1.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               D,G
Using a covarion model:          False
Normalise Q Matrix:              False
Tags:	2
	TVarNode	5	Sheep Goat Cow Buffalo Pronghorn 
	TRecNode	4	Porpoise Dolphin FKWhale Whale 
Restrictions:
    qDG                          None
    qGD                          None
Prior Information:
    Prior Categories:            100
    Priors
        qDG - exp 10.00 
        qGD - exp 10.00 
Node reconstruction / fossilisation:
	Node VarNode TVarNode
	Node RecNode TRecNode
Tree Information
     Trees:                      500
     Taxa:                       17
     Sites:                      1
     States:                     2
Iteration	Lh	Tree No	qDG	qGD	Root P(D)	Root P(G)	VarNode P(D)	VarNode P(G)	RecNode P(D)	RecNode P(G)	
136000	-7.130913	135	6.065283	4.885067	0.264004	0.735996	--	--	0.013134	0.986866	
137000	-7.981322	243	13.735450	11.303939	0.463024	0.536976	0.875281	0.124719	0.070743	0.929257	
138000	-7.373898	333	8.205188	4.752359	0.334192	0.665808	0.991537	0.008463	0.014249	0.985751	
139000	-7.928206	11	4.723016	3.785726	0.149714	0.850286	--	--	0.012642	0.987358	
140000	-9.089407	251	1.507598	5.198890	0.017155	0.982845	--	--	0.000561	0.999439	
141000	-8.091471	210	2.431034	2.324838	0.106491	0.893509	--	--	0.007662	0.992338	
142000	-9.167873	474	10.632419	0.002643	0.998616	0.001384	--	--	0.055332	0.944668	
143000	-10.159751	155	0.412595	2.504610	0.000744	0.999256	0.960484	0.039516	0.000009	0.999991	
144000	-9.757245	249	21.740243	4.974030	0.475446	0.524554	--	--	0.231145	0.768855	
145000	-7.568326	79	15.271940	8.947005	0.411227	0.588773	0.972308	0.027692	0.051797	0.948203	
146000	-8.323868	84	11.811045	20.331808	0.425094	0.574906	0.914253	0.085747	0.023847	0.976153	
147000	-9.886831	1	0.196569	6.324352	0.000318	0.999682	0.640021	0.359979	0.000020	0.999980	
148000	-7.322240	18	6.493581	9.476150	0.157462	0.842538	0.686283	0.313717	0.010464	0.989536	
149000	-8.102947	10	3.869120	9.256369	0.157126	0.842874	0.837337	0.162663	0.013089	0.986911	
150000	-8.541178	223	1.788837	2.507360	0.020833	0.979167	0.702226	0.297774	0.001535	0.998465	
151000	-7.439901	203	5.966175	3.559836	0.230450	0.769550	--	--	0.033998	0.966002	
152000	-8.721466	117	9.950085	17.515515	0.435472	0.564528	--	--	0.118384	0.881616	
153000	-7.360815	421	6.202957	5.558781	0.234793	0.765207	0.975907	0.024093	0.014604	0.985396	
154000	-9.384688	87	17.970513	4.896239	0.455638	0.544362	0.987627	0.012373	0.053700	0.946300	
155000	-7.913843	107	4.277860	8.045500	0.173750	0.826250	0.765609	0.234391	0.008882	0.991118	
156000	-8.247787	397	15.844193	7.201311	0.438107	0.561893	0.978773	0.021227	0.055101	0.944899	
157000	-7.945500	336	2.040295	4.372289	0.040508	0.959492	0.922046	0.077954	0.001520	0.998480	
158000	-7.872537	67	11.462349	8.042860	0.372707	0.627293	0.992717	0.007283	0.056519	0.943481	
159000	-7.984280	66	12.941595	4.932246	0.350173	0.649827	0.986327	0.013673	0.064022	0.935978	
160000	-7.779380	18	11.954138	13.844460	0.317645	0.682355	0.698878	0.301122	0.033718	0.966282	
161000	-9.164017	187	27.472556	19.414839	0.474091	0.525909	0.655247	0.344753	0.167735	0.832265	
162000	-7.686429	491	3.660180	5.103364	0.113131	0.886869	--	--	0.016391	0.983609	
163000	-8.586692	208	1.689502	3.920718	0.040869	0.959131	--	--	0.001723	0.998277	
164000	-7.579029	258	6.546097	6.675317	0.222037	0.777963	--	--	0.012946	0.987054	
165000	-8.877539	315	10.581213	17.631547	0.406092	0.593908	--	--	0.055394	0.944606	
166000	-7.207909	30	7.076371	4.964916	0.286828	0.713172	--	--	0.029725	0.970275	
167000	-7.453228	421	9.394313	6.496373	0.337832	0.662168	0.973923	0.026077	0.031446	0.968554	
168000	-9.804209	183	10.422280	1.031935	0.552820	0.447180	--	--	0.078050	0.921950	
169000	-8.402098	241	0.858143	2.496421	0.005604	0.994396	0.988661	0.011339	0.000937	0.999063	
170000	-7.957129	65	10.539909	7.218430	0.330492	0.669508	0.981628	0.018372	0.126568	0.873432	
171000	-8.441167	224	2.026281	10.253932	0.024652	0.975348	0.969836	0.030164	0.000692	0.999308	
172000	-10.852226	351	4.471828	25.242897	0.282558	0.717442	--	--	0.010771	0.989229	
173000	-7.515533	348	2.323559	8.323990	0.044410	0.955590	--	--	0.001872	0.998128	
174000	-8.372150	248	13.027250	11.935176	0.382976	0.617024	--	--	0.140301	0.859699	
175000	-7.928403	293	5.097180	8.629629	0.253047	0.746953	0.962603	0.037397	0.005605	0.994395	
176000	-7.729404	51	7.982864	4.720920	0.330202	0.669798	--	--	0.023316	0.976684	
