Options:
Model:                           MultiState
Tree File Name:                  Artiodactyl.trees
Data File Name:                  Artiodactyl.txt
Log File Name:                   Artiodactyl_fossilised_run4.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            999630549
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      20005000
Burn in:                         5000
MCMC ML Start:                   False
Schedule File:                   Artiodactyl_fossilised_run4.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               D,G
Using a covarion model:          False
Normalise Q Matrix:              False
Tags:	1
	FNode	5	Sheep Goat Cow Buffalo Pronghorn 
Restrictions:
    qDG                          None
    qGD                          None
Prior Information:
    Prior Categories:            100
    Priors
        qDG - uniform 0.00 100.00 
        qGD - uniform 0.00 100.00 
Node reconstruction / fossilisation:
	Fossil Node01 FNode D 
Tree Information
     Trees:                      500
     Taxa:                       17
     Sites:                      1
     States:                     2
Iteration	Lh	Tree No	qDG	qGD	Root P(D)	Root P(G)	Node01 P(D)	Node01 P(G)	
145000	-10.629679	386	55.529432	57.902690	0.499728	0.500272	1.000000	0.000000	
146000	-9.016072	223	15.645938	23.614051	0.451907	0.548093	1.000000	0.000000	
147000	-7.690034	219	8.742793	2.861244	0.459383	0.540617	1.000000	0.000000	
148000	-11.264933	241	9.124497	35.262092	0.453639	0.546361	1.000000	0.000000	
149000	-11.064393	258	80.180938	98.502969	0.500000	0.500000	1.000000	0.000000	
150000	-11.105919	335	61.648052	45.805801	0.499984	0.500016	1.000000	0.000000	
151000	-10.707509	373	40.047664	15.299031	0.497290	0.502710	1.000000	0.000000	
152000	-10.866908	347	60.389121	72.414667	0.499986	0.500014	1.000000	0.000000	
153000	-7.654623	349	2.834243	4.450924	0.049723	0.950277	1.000000	0.000000	
154000	-10.922540	484	68.814982	76.577001	0.499998	0.500002	1.000000	0.000000	
155000	-9.842294	13	23.347852	8.123564	0.453310	0.546690	1.000000	0.000000	
156000	-9.428929	236	11.548523	25.886536	0.463846	0.536154	1.000000	0.000000	
157000	-7.873178	131	6.638334	7.120641	0.194837	0.805163	1.000000	0.000000	
158000	-8.129518	369	13.380981	5.998728	0.397355	0.602645	1.000000	0.000000	
159000	-7.978474	345	8.147527	8.968350	0.313817	0.686183	1.000000	0.000000	
160000	-11.438605	366	82.114004	84.346454	0.499999	0.500001	1.000000	0.000000	
161000	-7.216761	18	5.232635	5.942917	0.106514	0.893486	1.000000	0.000000	
162000	-10.449198	39	51.373692	37.893799	0.499615	0.500385	1.000000	0.000000	
163000	-8.331357	89	9.754662	17.125956	0.396689	0.603311	1.000000	0.000000	
164000	-8.869108	209	23.085725	25.273534	0.479369	0.520631	1.000000	0.000000	
165000	-10.519546	430	48.214827	54.029116	0.499995	0.500005	1.000000	0.000000	
166000	-8.254588	18	16.145300	12.536915	0.373013	0.626987	1.000000	0.000000	
167000	-10.545155	260	15.579603	2.169005	0.523026	0.476974	1.000000	0.000000	
168000	-8.833431	54	20.266532	16.748988	0.486862	0.513138	1.000000	0.000000	
169000	-8.386728	114	4.276117	14.114394	0.161121	0.838879	1.000000	0.000000	
170000	-8.679441	112	20.550847	24.657460	0.478324	0.521676	1.000000	0.000000	
171000	-11.328873	361	86.347151	65.534298	0.500000	0.500000	1.000000	0.000000	
172000	-9.827912	39	11.638134	27.249835	0.453438	0.546562	1.000000	0.000000	
173000	-7.682812	170	7.017007	8.339129	0.254018	0.745982	1.000000	0.000000	
174000	-8.526978	192	18.220966	17.168676	0.481888	0.518112	1.000000	0.000000	
175000	-11.084148	232	65.735269	50.940307	0.499921	0.500079	1.000000	0.000000	
176000	-7.473084	40	5.911641	2.758909	0.201656	0.798344	1.000000	0.000000	
177000	-7.698687	377	5.337505	7.944061	0.195949	0.804051	1.000000	0.000000	
178000	-8.001168	435	9.670736	9.590854	0.380069	0.619931	1.000000	0.000000	
179000	-9.356278	481	22.339823	24.574090	0.498282	0.501718	1.000000	0.000000	
180000	-9.535644	148	8.311648	20.006118	0.393587	0.606413	1.000000	0.000000	
181000	-7.503817	178	10.640699	4.463859	0.421778	0.578222	1.000000	0.000000	
182000	-7.956699	476	6.732765	10.736887	0.164962	0.835038	1.000000	0.000000	
183000	-7.508956	500	10.686693	11.360746	0.326407	0.673593	1.000000	0.000000	
184000	-8.562239	113	8.628982	15.957040	0.332771	0.667229	1.000000	0.000000	
185000	-10.887701	387	59.694871	80.627429	0.499905	0.500095	1.000000	0.000000	
186000	-10.411547	234	22.643995	48.566779	0.498829	0.501171	1.000000	0.000000	
187000	-10.936399	84	67.357848	43.466188	0.499931	0.500069	1.000000	0.000000	
188000	-8.459157	269	12.656237	18.664401	0.375337	0.624663	1.000000	0.000000	
189000	-8.811322	352	15.294766	11.615246	0.466749	0.533251	1.000000	0.000000	
190000	-8.927446	324	2.463992	4.509576	0.095956	0.904044	1.000000	0.000000	
191000	-9.074821	411	10.677445	16.804625	0.430317	0.569683	1.000000	0.000000	
192000	-8.205778	364	12.184718	8.959611	0.338849	0.661151	1.000000	0.000000	
193000	-8.021620	459	8.734957	4.790001	0.347322	0.652678	1.000000	0.000000	
194000	-8.494906	275	3.072387	2.784067	0.133358	0.866642	1.000000	0.000000	
195000	-8.284758	449	9.592117	9.708727	0.335523	0.664477	1.000000	0.000000	
196000	-8.034917	432	12.211868	7.889139	0.385749	0.614251	1.000000	0.000000	
197000	-8.406215	165	10.297565	2.985933	0.429964	0.570036	1.000000	0.000000	
198000	-11.662292	163	38.141737	90.592802	0.499968	0.500032	1.000000	0.000000	
199000	-8.493341	151	8.773713	14.434895	0.334423	0.665577	1.000000	0.000000	
200000	-9.547303	435	26.318186	17.081886	0.490199	0.509801	1.000000	0.000000	
201000	-7.639877	139	3.466655	4.641681	0.109644	0.890356	1.000000	0.000000	
202000	-12.159776	122	37.542256	11.791790	0.492504	0.507496	1.000000	0.000000	
203000	-10.633657	377	41.132544	65.431609	0.499836	0.500164	1.000000	0.000000	
204000	-8.743666	36	21.413613	13.611558	0.459464	0.540536	1.000000	0.000000	
205000	-8.998861	494	16.388132	10.461591	0.452740	0.547260	1.000000	0.000000	
206000	-9.680745	25	21.060413	31.676435	0.478975	0.521025	1.000000	0.000000	
207000	-9.338830	346	27.847342	33.602939	0.496178	0.503822	1.000000	0.000000	
208000	-9.419449	87	20.206493	32.249033	0.477658	0.522342	1.000000	0.000000	
209000	-11.214591	11	46.955758	28.529615	0.499162	0.500838	1.000000	0.000000	
210000	-8.700764	142	10.903553	15.876086	0.458732	0.541268	1.000000	0.000000	
211000	-10.161606	411	6.391762	19.684883	0.370844	0.629156	1.000000	0.000000	
212000	-7.826568	319	4.152099	5.966225	0.183821	0.816179	1.000000	0.000000	
213000	-8.058989	215	15.078872	11.377061	0.425832	0.574168	1.000000	0.000000	
214000	-8.567222	220	14.595723	16.258563	0.441709	0.558291	1.000000	0.000000	
215000	-9.444513	94	26.719102	8.314429	0.463300	0.536700	1.000000	0.000000	
216000	-11.292740	58	88.989371	97.989953	0.499999	0.500001	1.000000	0.000000	
217000	-8.801616	478	9.701905	18.099478	0.413815	0.586185	1.000000	0.000000	
218000	-9.639514	469	0.777800	11.668291	0.005048	0.994952	1.000000	0.000000	
219000	-10.865174	377	48.003344	35.714673	0.499342	0.500658	1.000000	0.000000	
220000	-11.356047	188	5.941147	25.628894	0.403668	0.596332	1.000000	0.000000	
221000	-10.561079	421	57.824529	60.126539	0.499991	0.500009	1.000000	0.000000	
222000	-8.154097	163	9.616534	8.414127	0.335609	0.664391	1.000000	0.000000	
223000	-8.602064	140	14.076738	20.373896	0.442045	0.557955	1.000000	0.000000	
224000	-10.416331	55	15.293691	0.739187	0.678160	0.321840	1.000000	0.000000	
225000	-9.662087	327	27.871559	27.864650	0.494449	0.505551	1.000000	0.000000	
226000	-8.247958	355	1.716883	3.726966	0.018926	0.981074	1.000000	0.000000	
227000	-9.107293	24	14.107795	18.510754	0.480929	0.519071	1.000000	0.000000	
228000	-10.101910	430	15.052869	1.477742	0.567197	0.432803	1.000000	0.000000	
229000	-7.420317	82	7.101458	3.217504	0.293218	0.706782	1.000000	0.000000	
230000	-7.968832	461	8.274790	6.735174	0.310217	0.689783	1.000000	0.000000	
231000	-8.479748	336	16.786166	16.728265	0.461096	0.538904	1.000000	0.000000	
232000	-7.649981	378	11.345277	10.472174	0.357712	0.642288	1.000000	0.000000	
233000	-9.481091	465	12.648001	28.948645	0.475640	0.524360	1.000000	0.000000	
234000	-8.925597	205	2.443721	1.387130	0.062053	0.937947	1.000000	0.000000	
235000	-8.311339	272	14.736105	9.129673	0.434319	0.565681	1.000000	0.000000	
236000	-11.150327	202	72.414591	43.706600	0.499974	0.500026	1.000000	0.000000	
237000	-8.356889	173	12.848573	5.887470	0.387450	0.612550	1.000000	0.000000	
238000	-7.581828	350	5.299584	7.465921	0.251164	0.748836	1.000000	0.000000	
239000	-9.303566	66	18.799052	3.648724	0.422198	0.577802	1.000000	0.000000	
240000	-8.641791	426	17.124635	17.936768	0.454427	0.545573	1.000000	0.000000	
241000	-10.245510	310	31.706766	24.060785	0.488354	0.511646	1.000000	0.000000	
242000	-9.528160	32	30.470037	25.703215	0.494277	0.505723	1.000000	0.000000	
243000	-9.471176	216	23.238552	13.113999	0.481289	0.518711	1.000000	0.000000	
244000	-10.416186	415	34.474545	54.233788	0.499773	0.500227	1.000000	0.000000	
245000	-7.311279	428	3.007900	2.629712	0.052276	0.947724	1.000000	0.000000	
246000	-7.467311	465	8.447469	6.159374	0.329127	0.670873	1.000000	0.000000	
247000	-7.710195	136	10.002948	6.157937	0.330327	0.669673	1.000000	0.000000	
248000	-10.254463	317	35.428666	43.837452	0.499604	0.500396	1.000000	0.000000	
249000	-11.648966	101	59.369136	27.286128	0.499607	0.500393	1.000000	0.000000	
250000	-8.248865	448	3.656814	3.020710	0.185282	0.814718	1.000000	0.000000	
251000	-8.553042	116	9.594560	15.384291	0.330885	0.669115	1.000000	0.000000	
252000	-10.581463	367	60.150328	71.430235	0.499990	0.500010	1.000000	0.000000	
253000	-8.416786	282	13.013693	5.755511	0.418825	0.581175	1.000000	0.000000	
254000	-8.473153	360	1.213216	3.998004	0.006114	0.993886	1.000000	0.000000	
255000	-9.844131	93	28.054110	39.923875	0.497271	0.502729	1.000000	0.000000	
256000	-9.329592	77	21.541021	34.715102	0.494113	0.505887	1.000000	0.000000	
257000	-8.994653	255	22.231125	22.509752	0.477755	0.522245	1.000000	0.000000	
258000	-8.584826	159	16.897667	12.919106	0.446365	0.553635	1.000000	0.000000	
259000	-7.607000	76	9.011067	7.962522	0.291279	0.708721	1.000000	0.000000	
260000	-7.318145	241	6.043873	6.361989	0.203172	0.796828	1.000000	0.000000	
261000	-8.651231	32	19.594124	18.033838	0.472420	0.527580	1.000000	0.000000	
262000	-7.338740	241	7.415494	6.676879	0.254224	0.745776	1.000000	0.000000	
263000	-13.573401	352	68.828692	27.076821	0.499985	0.500015	1.000000	0.000000	
264000	-8.076912	18	14.015983	13.528740	0.349979	0.650021	1.000000	0.000000	
265000	-7.444255	407	8.737875	8.333939	0.392724	0.607276	1.000000	0.000000	
266000	-9.248762	31	19.888052	9.691682	0.464942	0.535058	1.000000	0.000000	
267000	-9.527749	452	27.107015	24.706909	0.490715	0.509285	1.000000	0.000000	
268000	-8.040577	338	8.472635	11.194003	0.264839	0.735161	1.000000	0.000000	
269000	-7.936734	451	5.093376	2.867287	0.171498	0.828502	1.000000	0.000000	
270000	-7.291200	295	4.723315	3.137624	0.094705	0.905295	1.000000	0.000000	
271000	-10.186604	262	19.324324	42.587492	0.497247	0.502753	1.000000	0.000000	
272000	-10.981729	199	5.683761	24.755443	0.428891	0.571109	1.000000	0.000000	
273000	-8.301425	403	10.113840	10.847128	0.432864	0.567136	1.000000	0.000000	
274000	-11.199995	130	15.792176	50.154839	0.491582	0.508418	1.000000	0.000000	
275000	-8.123036	47	16.034462	7.835198	0.400886	0.599114	1.000000	0.000000	
276000	-8.323564	292	3.023108	4.542225	0.064469	0.935531	1.000000	0.000000	
277000	-8.368044	220	15.228246	11.055765	0.427813	0.572187	1.000000	0.000000	
278000	-10.997031	241	40.454229	82.599917	0.499958	0.500042	1.000000	0.000000	
279000	-10.557439	176	16.430035	40.789914	0.477533	0.522467	1.000000	0.000000	
280000	-8.028978	452	9.637041	8.260233	0.342776	0.657224	1.000000	0.000000	
281000	-8.018959	158	11.707281	5.171658	0.395523	0.604477	1.000000	0.000000	
282000	-9.246157	186	25.792437	28.806761	0.491043	0.508957	1.000000	0.000000	
283000	-9.780423	294	18.133736	31.435650	0.495332	0.504668	1.000000	0.000000	
