Options:
Model:                           Discrete: Independent
Tree File Name:                  Primates.trees
Data File Name:                  Primates.txt
Log File Name:                   Primates_discrete_independent.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            777135391
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1010000
Burn in:                         10000
MCMC ML Start:                   False
Schedule File:                   Primates_discrete_independent.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Prior Information:
    Prior Categories:            100
    Priors
        alpha1 - exp 10.00 
        beta1 - exp 10.00 
        alpha2 - exp 10.00 
        beta2 - exp 10.00 
Tree Information
     Trees:                      500
     Taxa:                       60
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
197000	-40.209693	379	0.669465	3.171819	1.863889	2.015175	0.297699	0.170212	0.338531	0.193558	
198000	-42.782462	452	1.560933	1.368745	4.064673	5.266004	0.565761	0.355980	0.048035	0.030224	
199000	-43.704507	493	0.980528	3.004381	2.529076	1.110116	0.563174	0.045928	0.361424	0.029475	
200000	-43.505652	451	2.861839	2.726582	0.607791	2.316543	0.310933	0.544010	0.052756	0.092301	
201000	-40.555809	481	1.743184	3.967309	4.235233	2.026991	0.689766	0.069551	0.218637	0.022046	
202000	-41.744408	174	0.731895	1.177057	2.918252	0.629433	0.905932	0.024111	0.068143	0.001814	
203000	-42.131603	451	1.017016	5.053273	2.489115	4.426162	0.331450	0.238290	0.250307	0.179953	
204000	-41.501399	86	0.354008	0.778133	3.020347	1.762307	0.836104	0.133451	0.026255	0.004191	
205000	-41.916665	418	0.837940	2.324405	1.805404	3.481447	0.462740	0.346258	0.109252	0.081751	
206000	-41.878165	125	1.041641	3.939671	2.459711	0.040747	0.628937	0.000032	0.371012	0.000019	
207000	-42.289074	368	0.566473	1.817099	3.400660	2.576834	0.596930	0.210568	0.142304	0.050198	
208000	-43.955456	358	1.565898	2.137503	3.034763	6.095064	0.445601	0.410606	0.074835	0.068958	
209000	-45.471730	336	3.875695	7.174076	2.702569	1.177367	0.520794	0.028142	0.427940	0.023124	
210000	-43.298111	203	0.904377	4.935589	5.409921	0.479681	0.514653	0.004668	0.476358	0.004321	
211000	-39.998746	201	0.537740	5.591393	2.193978	0.464908	0.413215	0.002508	0.580753	0.003525	
212000	-43.042392	245	0.988113	0.497449	7.410353	4.019665	0.641411	0.352438	0.003970	0.002181	
213000	-42.805376	307	0.994212	0.896608	4.931049	6.734597	0.560801	0.415145	0.013822	0.010232	
214000	-42.977069	109	0.223279	2.195010	2.650939	0.412114	0.629126	0.002495	0.366924	0.001455	
215000	-40.548077	90	1.028111	2.339110	1.046796	2.862003	0.349036	0.399929	0.116988	0.134046	
216000	-39.915848	394	1.121804	0.931192	3.198790	2.884928	0.793535	0.192507	0.011233	0.002725	
217000	-44.821230	297	2.636660	6.237173	4.439081	1.039517	0.548289	0.011015	0.432016	0.008679	
218000	-41.458281	263	2.392953	4.810067	2.138963	2.658745	0.509036	0.156030	0.256356	0.078578	
219000	-40.114434	68	1.121587	0.474093	2.145751	4.052689	0.827752	0.171300	0.000785	0.000163	
220000	-41.011776	352	1.083688	4.352893	3.462607	0.576979	0.687796	0.003089	0.307734	0.001382	
221000	-42.635923	226	0.487436	4.201391	0.701895	3.506901	0.156000	0.311295	0.177836	0.354868	
222000	-42.355302	314	1.562509	1.710233	3.533048	0.705212	0.814096	0.024435	0.156765	0.004705	
223000	-41.570493	185	0.071159	5.854130	2.562509	2.024431	0.008998	0.001838	0.821382	0.167782	
224000	-40.748573	404	0.604183	2.752076	4.389634	3.232435	0.647488	0.188361	0.127159	0.036992	
225000	-42.111405	310	0.366719	7.490787	1.563092	1.594977	0.119728	0.025478	0.704809	0.149984	
226000	-43.107845	479	2.011494	4.169811	2.535425	5.489374	0.406780	0.313521	0.157957	0.121743	
227000	-45.255989	284	2.225993	4.841290	1.115959	3.043273	0.329711	0.314412	0.182165	0.173712	
228000	-44.018109	68	2.031878	6.065375	5.399140	7.629900	0.494315	0.237637	0.181023	0.087025	
229000	-43.311800	446	1.081447	4.074649	1.924605	0.857395	0.543117	0.024884	0.413072	0.018926	
230000	-48.336427	274	0.749952	11.142432	2.683897	5.704210	0.162375	0.148906	0.359261	0.329458	
231000	-42.082285	204	1.363385	2.016244	4.764518	0.121124	0.888213	0.000619	0.111091	0.000077	
