Default schedule
Rate	71.43
CV	28.57
Rate Tried	% Accepted	CV Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
544	0.301471	256	0.480469	0.814570	800	0.358750	0.358750	0.261175	
618	0.297735	282	0.478723	0.814570	900	0.354444	0.354444	0.261523	
685	0.291971	315	0.476190	0.814570	1000	0.350000	0.350000	0.261808	
66	0.242424	34	0.411765	0.814570	100	0.300000	0.300000	0.262031	
136	0.242647	64	0.421875	0.814570	200	0.300000	0.300000	0.262252	
209	0.220096	91	0.450549	0.814570	300	0.290000	0.290000	0.262297	
280	0.196429	120	0.466667	0.814570	400	0.277500	0.277500	0.262169	
346	0.219653	154	0.474026	0.814570	500	0.298000	0.298000	0.262842	
418	0.227273	182	0.461538	0.814570	600	0.298333	0.298333	0.263053	
495	0.224242	205	0.453659	0.814570	700	0.291429	0.291429	0.262979	
571	0.236427	229	0.441048	0.814570	800	0.295000	0.295000	0.263300	
643	0.239502	257	0.443580	0.814570	900	0.297778	0.297778	0.263617	
719	0.237830	281	0.455516	0.814570	1000	0.299000	0.299000	0.263874	
78	0.192308	22	0.636364	0.814570	100	0.290000	0.290000	0.264019	
151	0.192053	49	0.448980	0.814570	200	0.255000	0.255000	0.263777	
232	0.206897	68	0.470588	0.814570	300	0.266667	0.266667	0.263920	
300	0.230000	100	0.500000	0.814570	400	0.297500	0.297500	0.264605	
367	0.239782	133	0.518797	0.814570	500	0.314000	0.314000	0.265229	
441	0.263039	159	0.496855	0.814570	600	0.325000	0.325000	0.265846	
512	0.269531	188	0.473404	0.814570	700	0.324286	0.324286	0.266136	
585	0.264957	215	0.483721	0.814570	800	0.323750	0.323750	0.266422	
659	0.264036	241	0.493776	0.814570	900	0.325556	0.325556	0.266811	
736	0.266304	264	0.507576	0.814570	1000	0.330000	0.330000	0.267354	
66	0.166667	34	0.500000	0.814570	100	0.280000	0.280000	0.267421	
