Options:
Model:                           MultiState
Tree File Name:                  Bird.trees
Data File Name:                  BirdTerritory.txt
Log File Name:                   BirdTerritory_covarionON_run1.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            3092223893
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   100
Iterations:                      200500
Burn in:                         500
MCMC ML Start:                   False
Schedule File:                   BirdTerritory_covarionON_run1.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               0,1
Using a covarion model:          True
Normalise Q Matrix:              False
Scale Tree:                      0.001000
Restrictions:
    q01                          None
    q10                          None
Prior Information:
    Prior Categories:            100
    Priors
        q01 - uniform 0.00 100.00 
        q10 - uniform 0.00 100.00 
        CVSwichRate - uniform 0.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       5669
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	q01	q10	Covar On to Off	 Covar Off to On	Root P(0)	Root P(1)	
10700	-1768.787847	1	25.252052	36.141072	9.410906	9.410906	0.621334	0.378666	
10800	-1773.100712	1	21.076169	48.224722	7.978263	7.978263	0.477496	0.522504	
10900	-1769.389482	1	26.104848	37.940995	11.185959	11.185959	0.617118	0.382882	
11000	-1770.221457	1	12.821325	84.130489	16.792011	16.792011	0.004129	0.995871	
11100	-1772.256927	1	21.166433	59.294220	14.392109	14.392109	0.263909	0.736091	
11200	-1768.987273	1	23.399710	41.108265	9.191648	9.191648	0.562577	0.437423	
11300	-1769.879001	1	21.600308	33.622604	7.767748	7.767748	0.612357	0.387643	
11400	-1768.703189	1	23.914750	37.113731	8.971811	8.971811	0.601402	0.398598	
11500	-1770.132141	1	21.711361	44.386196	12.567518	12.567518	0.463207	0.536793	
11600	-1768.717040	1	24.877943	35.014320	9.663455	9.663455	0.628722	0.371278	
11700	-1770.726100	1	12.882437	92.921718	17.067934	17.067934	0.002617	0.997383	
11800	-1773.582416	1	19.664650	85.363717	18.757744	18.757744	0.025070	0.974930	
11900	-1770.135100	1	23.506290	35.529172	12.245384	12.245384	0.610720	0.389280	
12000	-1769.752188	1	25.563767	33.936103	8.084283	8.084283	0.637808	0.362192	
12100	-1768.647971	1	23.814160	40.728969	10.499944	10.499944	0.564839	0.435161	
12200	-1772.214888	1	19.858113	60.988243	13.550338	13.550338	0.231727	0.768273	
12300	-1771.523537	1	23.639517	57.962314	12.368128	12.368128	0.373922	0.626078	
12400	-1773.161537	1	17.829042	34.240420	8.058069	8.058069	0.548727	0.451273	
12500	-1771.623106	1	14.598090	77.697017	18.442145	18.442145	0.009998	0.990002	
12600	-1770.191985	1	20.348727	32.246238	9.028142	9.028142	0.611208	0.388792	
12700	-1769.280680	1	23.490156	30.629948	9.236519	9.236519	0.657452	0.342548	
12800	-1772.988062	1	22.323649	26.972157	11.470940	11.470940	0.699378	0.300622	
12900	-1769.963668	1	23.043517	50.169230	11.346198	11.346198	0.449086	0.550914	
13000	-1770.364456	1	24.230786	36.654164	7.426313	7.426313	0.606913	0.393087	
13100	-1769.159977	1	25.147483	38.478861	8.773480	8.773480	0.600644	0.399356	
13200	-1770.387405	1	23.004590	37.178761	12.682732	12.682732	0.583145	0.416855	
13300	-1771.651954	1	24.425082	46.168038	8.036139	8.036139	0.542950	0.457050	
13400	-1769.499635	1	25.574812	36.854709	11.492298	11.492298	0.622463	0.377537	
13500	-1771.607993	1	27.594899	52.689340	10.909350	10.909350	0.513654	0.486346	
13600	-1769.844923	1	20.489313	42.286418	10.564934	10.564934	0.482289	0.517711	
13700	-1769.212216	1	23.597000	45.382911	10.227516	10.227516	0.520601	0.479399	
13800	-1769.134704	1	25.318645	37.434302	8.766670	8.766670	0.610019	0.389981	
13900	-1769.328786	1	26.035356	41.985185	11.138975	11.138975	0.578591	0.421409	
14000	-1769.982442	1	26.018909	46.219373	11.910467	11.910467	0.537858	0.462142	
14100	-1770.573240	1	19.893376	43.406851	9.676341	9.676341	0.465024	0.534976	
14200	-1771.450134	1	22.266563	56.198273	13.411009	13.411009	0.333748	0.666252	
14300	-1772.886315	1	11.398649	99.324969	19.277806	19.277806	0.001259	0.998741	
14400	-1771.130977	1	13.615598	75.266946	16.314322	16.314322	0.009873	0.990127	
14500	-1771.369819	1	14.151254	83.844990	19.317069	19.317069	0.005941	0.994059	
14600	-1770.239871	1	14.253289	85.403463	15.789421	15.789421	0.006860	0.993140	
14700	-1771.106509	1	15.295574	80.848814	18.098288	18.098288	0.010491	0.989509	
14800	-1773.457463	1	13.752173	85.498571	21.590942	21.590942	0.004814	0.995186	
14900	-1769.665904	1	22.287553	47.345841	11.505473	11.505473	0.457466	0.542534	
15000	-1770.386260	1	22.572725	28.117355	9.389652	9.389652	0.676991	0.323009	
15100	-1768.839546	1	21.926576	36.905108	9.737867	9.737867	0.580343	0.419657	
15200	-1769.066255	1	22.060520	42.264152	10.691263	10.691263	0.519166	0.480834	
15300	-1768.974956	1	24.639753	43.150214	10.944536	10.944536	0.551397	0.448603	
15400	-1769.985505	1	22.279874	45.235065	12.554017	12.554017	0.468486	0.531514	
15500	-1769.752364	1	23.040654	41.257790	12.445623	12.445623	0.536100	0.463900	
15600	-1771.142850	1	15.500565	94.787505	17.616041	17.616041	0.005446	0.994554	
15700	-1768.836705	1	23.833860	36.256981	8.665983	8.665983	0.607848	0.392152	
15800	-1769.051405	1	25.743276	40.916153	9.830345	9.830345	0.586345	0.413655	
15900	-1769.427758	1	25.318532	45.849031	10.997841	10.997841	0.536463	0.463537	
16000	-1769.229473	1	21.557544	38.119279	10.826180	10.826180	0.555568	0.444432	
16100	-1769.011833	1	21.753846	34.650469	9.583831	9.583831	0.601414	0.398586	
16200	-1770.791618	1	27.259907	37.422846	12.192692	12.192692	0.641668	0.358332	
16300	-1774.159705	1	21.103920	94.309562	17.702524	17.702524	0.023010	0.976990	
16400	-1770.824123	1	15.999089	91.562685	16.337462	16.337462	0.008068	0.991932	
16500	-1773.126418	1	9.767733	82.323150	14.290730	14.290730	0.001519	0.998481	
16600	-1771.248935	1	15.274324	80.963013	14.097428	14.097428	0.015766	0.984234	
16700	-1770.442986	1	13.749518	85.054059	17.981933	17.981933	0.005108	0.994892	
16800	-1771.467352	1	16.472521	83.914368	14.172725	14.172725	0.018718	0.981282	
16900	-1768.957177	1	23.539485	43.960477	10.557030	10.557030	0.530020	0.469980	
17000	-1770.109401	1	27.107338	35.722297	8.571214	8.571214	0.636779	0.363221	
17100	-1769.654069	1	21.000230	43.056208	10.034311	10.034311	0.493982	0.506018	
17200	-1774.621761	1	31.706546	32.702192	12.235899	12.235899	0.820352	0.179648	
17300	-1768.898444	1	23.743507	40.591278	9.203532	9.203532	0.570668	0.429332	
