Default schedule
Rate	100.00
Rate Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
200	0.220000	0.485915	200	0.220000	0.220000	0.192149	
300	0.233333	0.485915	300	0.233333	0.233333	0.192336	
400	0.227500	0.485915	400	0.227500	0.227500	0.192385	
500	0.224000	0.485915	500	0.224000	0.224000	0.192433	
600	0.218333	0.485915	600	0.218333	0.218333	0.192426	
700	0.231429	0.485915	700	0.231429	0.231429	0.192747	
800	0.231250	0.485915	800	0.231250	0.231250	0.192848	
900	0.230000	0.485915	900	0.230000	0.230000	0.192922	
1000	0.230000	0.485915	1000	0.230000	0.230000	0.193022	
100	0.270000	0.485915	100	0.270000	0.270000	0.193229	
200	0.245000	0.485915	200	0.245000	0.245000	0.193301	
300	0.260000	0.485915	300	0.260000	0.260000	0.193560	
400	0.255000	0.485915	400	0.255000	0.255000	0.193685	
500	0.252000	0.485915	500	0.252000	0.252000	0.193808	
600	0.268333	0.485915	600	0.268333	0.268333	0.194224	
700	0.260000	0.485915	700	0.260000	0.260000	0.194265	
800	0.240000	0.485915	800	0.240000	0.240000	0.194016	
900	0.237778	0.485915	900	0.237778	0.237778	0.194085	
1000	0.238000	0.485915	1000	0.238000	0.238000	0.194205	
100	0.290000	0.485915	100	0.290000	0.290000	0.194457	
200	0.275000	0.485915	200	0.275000	0.275000	0.194628	
300	0.246667	0.485915	300	0.246667	0.246667	0.194616	
400	0.257500	0.485915	400	0.257500	0.257500	0.194865	
500	0.238000	0.485915	500	0.238000	0.238000	0.194774	
600	0.245000	0.485915	600	0.245000	0.245000	0.194995	
700	0.248571	0.485915	700	0.248571	0.248571	0.195189	
800	0.236250	0.485915	800	0.236250	0.236250	0.195072	
900	0.246667	0.485915	900	0.246667	0.246667	0.195419	
1000	0.256000	0.485915	1000	0.256000	0.256000	0.195790	
100	0.190000	0.485915	100	0.190000	0.190000	0.195775	
200	0.230000	0.485915	200	0.230000	0.230000	0.195964	
300	0.230000	0.485915	300	0.230000	0.230000	0.196051	
400	0.227500	0.485915	400	0.227500	0.227500	0.196112	
500	0.226000	0.485915	500	0.226000	0.226000	0.196172	
600	0.233333	0.485915	600	0.233333	0.233333	0.196359	
700	0.240000	0.485915	700	0.240000	0.240000	0.196569	
800	0.245000	0.485915	800	0.245000	0.245000	0.196779	
900	0.262222	0.485915	900	0.262222	0.262222	0.197288	
1000	0.264000	0.485915	1000	0.264000	0.264000	0.197495	
100	0.250000	0.485915	100	0.250000	0.250000	0.197626	
200	0.280000	0.485915	200	0.280000	0.280000	0.197906	
300	0.253333	0.485915	300	0.253333	0.253333	0.197911	
400	0.270000	0.485915	400	0.270000	0.270000	0.198213	
500	0.260000	0.485915	500	0.260000	0.260000	0.198267	
600	0.253333	0.485915	600	0.253333	0.253333	0.198320	
700	0.265714	0.485915	700	0.265714	0.265714	0.198668	
800	0.268750	0.485915	800	0.268750	0.268750	0.198892	
900	0.261111	0.485915	900	0.261111	0.261111	0.198895	
1000	0.258000	0.485915	1000	0.258000	0.258000	0.198971	
100	0.220000	0.485915	100	0.220000	0.220000	0.199022	
200	0.255000	0.485915	200	0.255000	0.255000	0.199243	
300	0.280000	0.485915	300	0.280000	0.280000	0.199559	
400	0.272500	0.485915	400	0.272500	0.272500	0.199681	
500	0.286000	0.485915	500	0.286000	0.286000	0.200019	
600	0.270000	0.485915	600	0.270000	0.270000	0.199995	
700	0.281429	0.485915	700	0.281429	0.281429	0.200355	
800	0.270000	0.485915	800	0.270000	0.270000	0.200330	
900	0.268889	0.485915	900	0.268889	0.268889	0.200473	
1000	0.265000	0.485915	1000	0.265000	0.265000	0.200543	
100	0.260000	0.485915	100	0.260000	0.260000	0.200684	
200	0.215000	0.485915	200	0.215000	0.215000	0.200611	
300	0.210000	0.485915	300	0.210000	0.210000	0.200610	
400	0.200000	0.485915	400	0.200000	0.200000	0.200538	
500	0.202000	0.485915	500	0.202000	0.202000	0.200560	
600	0.213333	0.485915	600	0.213333	0.213333	0.200723	
700	0.217143	0.485915	700	0.217143	0.217143	0.200815	
800	0.221250	0.485915	800	0.221250	0.221250	0.200930	
900	0.220000	0.485915	900	0.220000	0.220000	0.200951	
1000	0.230000	0.485915	1000	0.230000	0.230000	0.201228	
100	0.210000	0.485915	100	0.210000	0.210000	0.201248	
200	0.225000	0.485915	200	0.225000	0.225000	0.201338	
300	0.246667	0.485915	300	0.246667	0.246667	0.201543	
400	0.235000	0.485915	400	0.235000	0.235000	0.201539	
500	0.248000	0.485915	500	0.248000	0.248000	0.201765	
600	0.256667	0.485915	600	0.256667	0.256667	0.201991	
700	0.267143	0.485915	700	0.267143	0.267143	0.202284	
800	0.270000	0.485915	800	0.270000	0.270000	0.202484	
900	0.266667	0.485915	900	0.266667	0.266667	0.202569	
1000	0.265000	0.485915	1000	0.265000	0.265000	0.202677	
100	0.250000	0.485915	100	0.250000	0.250000	0.202785	
200	0.270000	0.485915	200	0.270000	0.270000	0.202982	
300	0.253333	0.485915	300	0.253333	0.253333	0.203020	
400	0.267500	0.485915	400	0.267500	0.267500	0.203261	
500	0.268000	0.485915	500	0.268000	0.268000	0.203411	
600	0.276667	0.485915	600	0.276667	0.276667	0.203673	
700	0.285714	0.485915	700	0.285714	0.285714	0.203978	
800	0.276250	0.485915	800	0.276250	0.276250	0.203991	
900	0.261111	0.485915	900	0.261111	0.261111	0.203848	
1000	0.264000	0.485915	1000	0.264000	0.264000	0.204040	
100	0.340000	0.485915	100	0.340000	0.340000	0.204341	
200	0.290000	0.485915	200	0.290000	0.290000	0.204420	
300	0.283333	0.485915	300	0.283333	0.283333	0.204565	
400	0.265000	0.485915	400	0.265000	0.265000	0.204577	
500	0.276000	0.485915	500	0.276000	0.276000	0.204831	
600	0.275000	0.485915	600	0.275000	0.275000	0.204974	
700	0.272857	0.485915	700	0.272857	0.272857	0.205094	
800	0.261250	0.485915	800	0.261250	0.261250	0.205039	
